station,connector_type,start,end
Aeropuerto Laguna del Sauce,CCS 2,2025-04-18 04:14:44,2025-04-18 04:23:59
Aeropuerto Laguna del Sauce,GBT,2025-04-18 04:14:44,2025-04-18 04:23:59
UTE ANCAP Francolino Paysandú,CCS 2,2025-04-18 04:14:44,2025-04-18 04:14:44
UTE ANCAP Francolino Paysandú,CCS 2,2025-04-18 04:15:46,2025-04-18 04:15:46
UTE ANCAP Francolino Paysandú,CCS 2,2025-04-18 04:16:48,2025-04-18 04:16:48
UTE ANCAP Francolino Paysandú,CCS 2,2025-04-18 04:17:49,2025-04-18 04:18:51
UTE ANCAP Francolino Paysandú,CCS 2,2025-04-18 04:19:52,2025-04-18 04:19:52
UTE ANCAP Francolino Paysandú,CCS 2,2025-04-18 04:20:54,2025-04-18 04:23:59
UTE ANCAP José Ignacio,CCS 2,2025-04-18 04:14:44,2025-04-18 04:23:59
UTE ANCAP Minas,Tipo 2,2025-04-18 04:14:44,2025-04-18 04:23:59
UTE ANCAP Paysandú,Tipo 2,2025-04-18 04:14:44,2025-04-18 04:23:59
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:14:44,2025-04-18 04:14:44
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:14:44,2025-04-18 04:14:44
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:15:46,2025-04-18 04:15:46
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:16:48,2025-04-18 04:16:48
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:17:49,2025-04-18 04:18:51
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:18:51,2025-04-18 04:18:51
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:19:52,2025-04-18 04:19:52
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:19:52,2025-04-18 04:19:52
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:20:54,2025-04-18 04:20:54
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:20:54,2025-04-18 04:20:54
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:21:56,2025-04-18 04:21:56
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:22:57,2025-04-18 04:22:57
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:22:57,2025-04-18 04:22:57
UTE Av. Fco. Soca y Libertad,CCS 2,2025-04-18 04:23:59,2025-04-18 04:23:59
UTE Batoví,CCS 2,2025-04-18 04:14:44,2025-04-18 04:14:44
UTE Batoví,CCS 2,2025-04-18 04:15:46,2025-04-18 04:15:46
UTE Batoví,CCS 2,2025-04-18 04:16:48,2025-04-18 04:16:48
UTE Batoví,CCS 2,2025-04-18 04:17:49,2025-04-18 04:18:51
UTE Batoví,CCS 2,2025-04-18 04:19:52,2025-04-18 04:19:52
UTE Batoví,CCS 2,2025-04-18 04:20:54,2025-04-18 04:20:54
UTE Batoví,CCS 2,2025-04-18 04:21:56,2025-04-18 04:21:56
UTE Batoví,CCS 2,2025-04-18 04:22:57,2025-04-18 04:22:57
UTE Batoví,CCS 2,2025-04-18 04:22:57,2025-04-18 04:22:57
UTE Batoví,CCS 2,2025-04-18 04:23:59,2025-04-18 04:23:59
UTE Belloni,Tipo 2,2025-04-18 04:14:44,2025-04-18 04:14:44
UTE Belloni,Tipo 2,2025-04-18 04:15:46,2025-04-18 04:15:46
UTE Belloni,Tipo 2,2025-04-18 04:16:48,2025-04-18 04:16:48
UTE Belloni,Tipo 2,2025-04-18 04:17:49,2025-04-18 04:18:51
UTE Belloni,Tipo 2,2025-04-18 04:19:52,2025-04-18 04:19:52
UTE Belloni,Tipo 2,2025-04-18 04:20:54,2025-04-18 04:20:54
UTE Belloni,Tipo 2,2025-04-18 04:21:56,2025-04-18 04:21:56
